Name,Silverstone,Length,Radius
Section,0,450,0
Section,1,100,75
Section,2,75,0
Section,3,140,45
Section,4,180,0
Section,5,50,90
Section,6,90,0
Section,7,75,135
Section,8,135,0
Section,9,50,45
Section,10,625,0
Section,11,130,135
Section,12,70,0
Section,13,180,180
Section,14,125,0
Section,15,220,45
Section,16,400,0
Section,17,150,80
Section,18,420,0
Section,19,65,20
Section,20,40,0
Section,21,45,30
Section,22,90,0
Section,23,100,45
Section,24,40,0
Section,25,125,90
Section,26,80,0
Section,27,50,15
Section,28,725,0
Section,29,210,90
Section,30,350,0
Section,31,30,90
Section,32,35,0
Section,33,80,90
Section,34,190,90
